Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
NOR,4,92.248,2.0,1.0,24.618,27.789,39.841,281.0,275.0,271.0,330.0,True,MEDIUM,2.0,True,McLaren,1,SQ
NOR,4,123.141,3.0,1.0,34.193,38.202,50.746,170.0,212.0,168.0,276.0,False,MEDIUM,3.0,True,McLaren,1,SQ
NOR,4,125.901,4.0,1.0,38.528,35.518,51.855,200.0,239.0,271.0,308.0,False,MEDIUM,4.0,True,McLaren,1,SQ
NOR,4,91.396,5.0,1.0,24.207,27.555,39.634,281.0,276.0,273.0,333.0,True,MEDIUM,5.0,True,McLaren,1,SQ
NOR,4,91.174,8.0,2.0,24.278,27.499,39.397,279.0,275.0,271.0,330.0,True,MEDIUM,2.0,True,McLaren,1,SQ
NOR,4,91.393,11.0,3.0,24.293,27.44,39.66,280.0,277.0,271.0,332.0,True,SOFT,2.0,True,McLaren,1,SQ
NOR,4,128.283,12.0,3.0,37.923,39.061,51.299,155.0,188.0,274.0,265.0,False,SOFT,3.0,True,McLaren,1,SQ
LEC,16,92.239,2.0,1.0,24.771,27.739,39.729,282.0,277.0,268.0,333.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
LEC,16,91.518,5.0,2.0,24.511,27.601,39.406,282.0,277.0,270.0,335.0,True,MEDIUM,5.0,False,Ferrari,1,SQ
LEC,16,118.526,8.0,3.0,24.561,34.641,59.324,281.0,139.0,268.0,260.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
LEC,16,92.102,9.0,3.0,24.542,27.672,39.888,282.0,278.0,270.0,334.0,True,MEDIUM,3.0,True,Ferrari,1,SQ
LEC,16,134.435,10.0,3.0,35.337,38.15,60.948,217.0,163.0,270.0,161.0,False,MEDIUM,4.0,True,Ferrari,1,SQ
LEC,16,91.561,11.0,3.0,24.417,27.589,39.555,284.0,278.0,269.0,335.0,True,MEDIUM,5.0,True,Ferrari,1,SQ
LEC,16,91.057,14.0,4.0,24.322,27.384,39.351,283.0,279.0,272.0,334.0,True,SOFT,2.0,True,Ferrari,1,SQ
PIA,81,91.723,2.0,1.0,24.509,27.478,39.736,280.0,275.0,271.0,331.0,True,MEDIUM,2.0,True,McLaren,1,SQ
PIA,81,126.296,3.0,1.0,35.311,37.641,53.344,204.0,183.0,196.0,242.0,False,MEDIUM,3.0,True,McLaren,1,SQ
PIA,81,119.765,6.0,2.0,28.938,39.077,51.75,215.0,219.0,269.0,225.0,True,MEDIUM,2.0,True,McLaren,1,SQ
PIA,81,91.362,7.0,2.0,24.323,27.566,39.473,280.0,276.0,269.0,332.0,True,MEDIUM,3.0,True,McLaren,1,SQ
PIA,81,90.929,10.0,3.0,24.297,27.317,39.315,280.0,276.0,269.0,331.0,True,SOFT,2.0,True,McLaren,1,SQ
PIA,81,130.507,11.0,3.0,39.544,38.355,52.608,196.0,213.0,271.0,219.0,False,SOFT,3.0,True,McLaren,1,SQ
PIA,81,90.94,12.0,3.0,24.248,27.447,39.245,280.0,276.0,272.0,332.0,False,SOFT,4.0,True,McLaren,1,SQ
HAM,44,92.229,2.0,1.0,24.608,27.763,39.858,281.0,277.0,266.0,332.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
HAM,44,91.212,5.0,2.0,24.415,27.428,39.369,280.0,276.0,272.0,335.0,True,MEDIUM,5.0,False,Ferrari,1,SQ
HAM,44,92.125,8.0,3.0,24.448,27.864,39.813,281.0,276.0,266.0,334.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
HAM,44,126.485,9.0,3.0,35.523,39.258,51.704,214.0,220.0,137.0,282.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
HAM,44,129.354,10.0,3.0,38.317,35.687,55.35,210.0,237.0,267.0,236.0,False,MEDIUM,4.0,True,Ferrari,1,SQ
HAM,44,91.384,11.0,3.0,24.355,27.383,39.646,283.0,277.0,267.0,335.0,True,MEDIUM,5.0,True,Ferrari,1,SQ
HAM,44,90.849,14.0,4.0,24.261,27.249,39.339,283.0,278.0,270.0,335.0,True,SOFT,2.0,True,Ferrari,1,SQ
RUS,63,118.797,2.0,1.0,28.751,35.028,55.018,256.0,261.0,271.0,153.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,124.138,3.0,1.0,28.475,41.875,53.788,191.0,225.0,272.0,168.0,False,MEDIUM,3.0,True,Mercedes,1,SQ
RUS,63,92.29,4.0,1.0,24.711,27.771,39.808,280.0,277.0,269.0,334.0,True,MEDIUM,4.0,True,Mercedes,1,SQ
RUS,63,125.98,5.0,1.0,35.947,37.086,52.947,251.0,245.0,222.0,259.0,False,MEDIUM,5.0,True,Mercedes,1,SQ
RUS,63,120.494,6.0,1.0,31.473,38.371,50.65,226.0,241.0,273.0,269.0,False,MEDIUM,6.0,True,Mercedes,1,SQ
RUS,63,91.952,7.0,1.0,24.605,27.622,39.725,280.0,276.0,264.0,337.0,True,MEDIUM,7.0,True,Mercedes,1,SQ
RUS,63,108.57,10.0,2.0,28.287,34.314,45.969,229.0,259.0,272.0,208.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,92.131,11.0,2.0,24.572,27.821,39.738,281.0,276.0,267.0,337.0,True,MEDIUM,3.0,True,Mercedes,1,SQ
RUS,63,128.069,12.0,2.0,35.124,38.469,54.476,228.0,239.0,90.0,259.0,False,MEDIUM,4.0,True,Mercedes,1,SQ
RUS,63,130.867,13.0,2.0,41.7,39.353,49.814,237.0,236.0,271.0,263.0,False,MEDIUM,5.0,True,Mercedes,1,SQ
RUS,63,91.346,14.0,2.0,24.485,27.403,39.458,282.0,278.0,271.0,334.0,True,MEDIUM,6.0,True,Mercedes,1,SQ
RUS,63,91.169,17.0,3.0,24.302,27.425,39.442,282.0,277.0,272.0,336.0,True,SOFT,2.0,True,Mercedes,1,SQ
HUL,27,92.675,2.0,1.0,24.606,27.906,40.163,281.0,276.0,270.0,332.0,True,MEDIUM,2.0,True,Audi,1,SQ
HUL,27,92.855,5.0,2.0,24.582,27.872,40.401,281.0,275.0,264.0,335.0,False,MEDIUM,5.0,False,Audi,1,SQ
ALB,23,92.845,2.0,1.0,24.806,27.871,40.168,281.0,275.0,266.0,332.0,True,MEDIUM,2.0,True,Williams,1,SQ
ALB,23,127.227,3.0,1.0,36.808,37.679,52.74,165.0,242.0,132.0,308.0,False,MEDIUM,3.0,True,Williams,1,SQ
ALB,23,123.336,4.0,1.0,38.554,34.906,49.876,257.0,257.0,271.0,309.0,False,MEDIUM,4.0,True,Williams,1,SQ
ALB,23,92.462,5.0,1.0,24.49,27.932,40.04,281.0,276.0,271.0,333.0,True,MEDIUM,5.0,True,Williams,1,SQ
ALB,23,118.143,8.0,2.0,27.66,36.793,53.69,278.0,259.0,270.0,132.0,True,MEDIUM,2.0,True,Williams,1,SQ
ALB,23,91.539,9.0,2.0,24.321,27.612,39.606,281.0,277.0,271.0,333.0,True,MEDIUM,3.0,True,Williams,1,SQ
